t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
2,0,0.0,42,144,0.033846153846153845,0.11604395604395604,0.016,0.448,-8.0,0
12,0,0.0,44,153,0.03545787545787545,0.1232967032967033,0.016,0.448,-8.0,0
22,0,0.0,48,144,0.038681318681318674,0.11604395604395604,0.016,0.448,-8.0,0
40,0,0.0,45,144,0.03626373626373627,0.11604395604395604,0.016,0.456,-8.0,0
58,0,0.0,39,144,0.031428571428571424,0.11604395604395604,0.016,0.456,-8.0,0
77,0,0.0,47,145,0.037875457875457874,0.11684981684981685,0.016,0.456,-8.0,0
95,0,0.0,47,145,0.037875457875457874,0.11684981684981685,0.016,0.456,-8.0,0
114,0,0.0,48,143,0.038681318681318674,0.11523809523809524,0.016,0.456,-8.0,0
132,0,0.0,48,144,0.038681318681318674,0.11604395604395604,0.024,0.456,-8.0,0
151,0,0.0,48,138,0.038681318681318674,0.11120879120879121,0.016,0.456,-8.0,0
169,0,0.0,46,145,0.03706959706959707,0.11684981684981685,0.024,0.456,-8.0,0
188,0,0.0,50,144,0.040293040293040296,0.11604395604395604,0.04,0.456,-8.0,0
206,0,0.0,59,144,0.047545787545787546,0.11604395604395604,0.024,0.456,-8.0,0
225,0,0.0,48,144,0.038681318681318674,0.11604395604395604,0.024,0.456,-8.0,0
244,0,0.0,48,148,0.038681318681318674,0.11926739926739927,0.024,0.456,-8.0,0
262,0,0.0,43,144,0.03465201465201465,0.11604395604395604,0.024,0.456,-8.0,0
281,0,0.0,51,146,0.041098901098901096,0.11765567765567765,0.032,0.456,-8.0,0
299,0,0.0,50,144,0.040293040293040296,0.11604395604395604,0.032,0.456,-8.0,0
318,0,0.0,53,144,0.0427106227106227,0.11604395604395604,0.024,0.456,-8.0,0
336,0,0.0,48,146,0.038681318681318674,0.11765567765567765,0.024,0.456,-8.0,0
355,0,0.0,51,146,0.041098901098901096,0.11765567765567765,0.016,0.456,-8.0,0
373,0,0.0,48,144,0.038681318681318674,0.11604395604395604,0.024,0.448,-8.0,0
392,0,0.0,48,143,0.038681318681318674,0.11523809523809524,0.016,0.448,-8.0,0
410,0,0.0,41,143,0.03304029304029304,0.11523809523809524,0.016,0.448,-8.0,0
429,0,0.0,45,144,0.03626373626373627,0.11604395604395604,0.008,0.448,-8.0,0
447,0,0.0,39,144,0.031428571428571424,0.11604395604395604,-0.008,0.448,-8.0,0
466,0,0.0,38,144,0.03062271062271062,0.11604395604395604,-0.016,0.448,-8.0,0
