time,marker_id,description
0.0001475,101,Trash data in the TRIM period
3.0001475,102,Trash data in the TRIM period
3.0006781,10,Rest period started
6.0006781,20,Action period started
9.0006781,30,Release period started
12.0009879,10,Rest period started
15.0009879,20,Action period started
18.0009879,30,Release period started
21.0012726,10,Rest period started
24.0012726,20,Action period started
27.0012726,30,Release period started
30.0015158,10,Rest period started
33.0015158,20,Action period started
36.0015158,30,Release period started
39.0017604,10,Rest period started
42.0017604,20,Action period started
45.0017604,30,Release period started
48.002024,10,Rest period started
51.002024,20,Action period started
54.002024,30,Release period started
57.0022741,10,Rest period started
60.0022741,20,Action period started
63.0022741,30,Release period started
66.002535,10,Rest period started
69.002535,20,Action period started
72.002535,30,Release period started
75.0029075,10,Rest period started
78.0029075,20,Action period started
81.0029075,30,Release period started
84.0031946,10,Rest period started
87.0031946,20,Action period started
90.0031946,30,Release period started
93.0034193,10,Rest period started
96.0034193,20,Action period started
99.0034193,30,Release period started
102.0036778,10,Rest period started
105.0036778,20,Action period started
108.0036778,30,Release period started
111.0039346,10,Rest period started
114.0039346,20,Action period started
117.0039346,30,Release period started
120.0042653,10,Rest period started
123.0042653,20,Action period started
126.0042653,30,Release period started
129.0045544,10,Rest period started
132.0045544,20,Action period started
135.0045544,30,Release period started
138.0047941,10,Rest period started
141.0047941,20,Action period started
144.0047941,30,Release period started
147.005116,10,Rest period started
150.005116,20,Action period started
153.005116,30,Release period started
156.0054516,10,Rest period started
159.0054516,20,Action period started
162.0054516,30,Release period started
165.0056876,10,Rest period started
168.0056876,20,Action period started
171.0056876,30,Release period started
174.0059385,10,Rest period started
177.0059385,20,Action period started
180.0059385,30,Release period started
183.0061906,10,Rest period started
186.0061906,20,Action period started
189.0061906,30,Release period started
192.0064272,10,Rest period started
195.0064272,20,Action period started
198.0064272,30,Release period started
201.0066667,10,Rest period started
204.0066667,20,Action period started
207.0066667,30,Release period started
210.0069302,10,Rest period started
213.0069302,20,Action period started
216.0069302,30,Release period started
219.0071774,10,Rest period started
222.0071774,20,Action period started
225.0071774,30,Release period started
228.0074273,10,Rest period started
231.0074273,20,Action period started
234.0074273,30,Release period started
237.0076883,10,Rest period started
240.0076883,20,Action period started
243.0076883,30,Release period started
246.0079322,10,Rest period started
249.0079322,20,Action period started
252.0079322,30,Release period started
255.0081773,10,Rest period started
258.0081773,20,Action period started
261.0081773,30,Release period started
264.0084283,10,Rest period started
267.0084283,20,Action period started
270.0084283,30,Release period started
273.0085973,201,Trash data in the TRIM period
276.0085973,202,Trash data in the TRIM period
