time,marker_id,description
0.0006423,101,Trash data in the TRIM period
3.0006423,102,Trash data in the TRIM period
3.0012689,10,Rest period started
6.0012689,20,Action period started
9.0012689,30,Release period started
12.0015506,10,Rest period started
15.0015506,20,Action period started
18.0015506,30,Release period started
21.0017945,10,Rest period started
24.0017945,20,Action period started
27.0017945,30,Release period started
30.0020301,10,Rest period started
33.0020301,20,Action period started
36.0020301,30,Release period started
39.0022473,10,Rest period started
42.0022473,20,Action period started
45.0022473,30,Release period started
48.0025886,10,Rest period started
51.0025886,20,Action period started
54.0025886,30,Release period started
57.0028138,10,Rest period started
60.0028138,20,Action period started
63.0028138,30,Release period started
66.0030569,10,Rest period started
69.0030569,20,Action period started
72.0030569,30,Release period started
75.0033299,10,Rest period started
78.0033299,20,Action period started
81.0033299,30,Release period started
84.003595,10,Rest period started
87.003595,20,Action period started
90.003595,30,Release period started
93.0039426,10,Rest period started
96.0039426,20,Action period started
99.0039426,30,Release period started
102.0042413,10,Rest period started
105.0042413,20,Action period started
108.0042413,30,Release period started
111.004472,10,Rest period started
114.004472,20,Action period started
117.004472,30,Release period started
120.0046885,10,Rest period started
123.0046885,20,Action period started
126.0046885,30,Release period started
129.0049067,10,Rest period started
132.0049067,20,Action period started
135.0049067,30,Release period started
138.0051229,10,Rest period started
141.0051229,20,Action period started
144.0051229,30,Release period started
147.0053656,10,Rest period started
150.0053656,20,Action period started
153.0053656,30,Release period started
156.0056824,10,Rest period started
159.0056824,20,Action period started
162.0056824,30,Release period started
165.0059263,10,Rest period started
168.0059263,20,Action period started
171.0059263,30,Release period started
174.0062008,10,Rest period started
177.0062008,20,Action period started
180.0062008,30,Release period started
183.0064177,10,Rest period started
186.0064177,20,Action period started
189.0064177,30,Release period started
192.006651,10,Rest period started
195.006651,20,Action period started
198.006651,30,Release period started
201.0069505,10,Rest period started
204.0069505,20,Action period started
207.0069505,30,Release period started
210.0072035,10,Rest period started
213.0072035,20,Action period started
216.0072035,30,Release period started
219.0074736,10,Rest period started
222.0074736,20,Action period started
225.0074736,30,Release period started
228.0077081,10,Rest period started
231.0077081,20,Action period started
234.0077081,30,Release period started
237.007962,10,Rest period started
240.007962,20,Action period started
243.007962,30,Release period started
246.0082754,10,Rest period started
249.0082754,20,Action period started
252.0082754,30,Release period started
255.0085647,10,Rest period started
258.0085647,20,Action period started
261.0085647,30,Release period started
264.0087847,10,Rest period started
267.0087847,20,Action period started
270.0087847,30,Release period started
273.0089527,201,Trash data in the TRIM period
276.0089527,202,Trash data in the TRIM period
