time,marker_id,description
0.0002734,101,Trash data in the TRIM period
3.0002734,102,Trash data in the TRIM period
3.0008983,10,Rest period started
6.0008983,20,Action period started
9.0008983,30,Release period started
12.0011566,10,Rest period started
15.0011566,20,Action period started
18.0011566,30,Release period started
21.0013946,10,Rest period started
24.0013946,20,Action period started
27.0013946,30,Release period started
30.0016162,10,Rest period started
33.0016162,20,Action period started
36.0016162,30,Release period started
39.0018963,10,Rest period started
42.0018963,20,Action period started
45.0018963,30,Release period started
48.0021812,10,Rest period started
51.0021812,20,Action period started
54.0021812,30,Release period started
57.0024238,10,Rest period started
60.0024238,20,Action period started
63.0024238,30,Release period started
66.0026736,10,Rest period started
69.0026736,20,Action period started
72.0026736,30,Release period started
75.0029543,10,Rest period started
78.0029543,20,Action period started
81.0029543,30,Release period started
84.0032692,10,Rest period started
87.0032692,20,Action period started
90.0032692,30,Release period started
93.0035667,10,Rest period started
96.0035667,20,Action period started
99.0035667,30,Release period started
102.0038035,10,Rest period started
105.0038035,20,Action period started
108.0038035,30,Release period started
111.0040861,10,Rest period started
114.0040861,20,Action period started
117.0040861,30,Release period started
120.004343,10,Rest period started
123.004343,20,Action period started
126.004343,30,Release period started
129.0046263,10,Rest period started
132.0046263,20,Action period started
135.0046263,30,Release period started
138.0048951,10,Rest period started
141.0048951,20,Action period started
144.0048951,30,Release period started
147.0052674,10,Rest period started
150.0052674,20,Action period started
153.0052674,30,Release period started
156.0055637,10,Rest period started
159.0055637,20,Action period started
162.0055637,30,Release period started
165.0058151,10,Rest period started
168.0058151,20,Action period started
171.0058151,30,Release period started
174.0060436,10,Rest period started
177.0060436,20,Action period started
180.0060436,30,Release period started
183.006289,10,Rest period started
186.006289,20,Action period started
189.006289,30,Release period started
192.0065443,10,Rest period started
195.0065443,20,Action period started
198.0065443,30,Release period started
201.0068129,10,Rest period started
204.0068129,20,Action period started
207.0068129,30,Release period started
210.0071189,10,Rest period started
213.0071189,20,Action period started
216.0071189,30,Release period started
219.0073387,10,Rest period started
222.0073387,20,Action period started
225.0073387,30,Release period started
228.0077171,10,Rest period started
231.0077171,20,Action period started
234.0077171,30,Release period started
237.008048,10,Rest period started
240.008048,20,Action period started
243.008048,30,Release period started
246.0083097,10,Rest period started
249.0083097,20,Action period started
252.0083097,30,Release period started
255.0086691,10,Rest period started
258.0086691,20,Action period started
261.0086691,30,Release period started
264.0088858,10,Rest period started
267.0088858,20,Action period started
270.0088858,30,Release period started
273.0090766,201,Trash data in the TRIM period
276.0090766,202,Trash data in the TRIM period
