time,marker_id,description
0.0001911,101,Trash data in the TRIM period
3.0001911,102,Trash data in the TRIM period
3.0007487,10,Rest period started
6.0007487,20,Action period started
9.0007487,30,Release period started
12.0011568,10,Rest period started
15.0011568,20,Action period started
18.0011568,30,Release period started
21.0014071,10,Rest period started
24.0014071,20,Action period started
27.0014071,30,Release period started
30.0016682,10,Rest period started
33.0016682,20,Action period started
36.0016682,30,Release period started
39.0019255,10,Rest period started
42.0019255,20,Action period started
45.0019255,30,Release period started
48.0021786,10,Rest period started
51.0021786,20,Action period started
54.0021786,30,Release period started
57.0024417,10,Rest period started
60.0024417,20,Action period started
63.0024417,30,Release period started
66.0026756,10,Rest period started
69.0026756,20,Action period started
72.0026756,30,Release period started
75.0029583,10,Rest period started
78.0029583,20,Action period started
81.0029583,30,Release period started
84.0032053,10,Rest period started
87.0032053,20,Action period started
90.0032053,30,Release period started
93.0034712,10,Rest period started
96.0034712,20,Action period started
99.0034712,30,Release period started
102.0037066,10,Rest period started
105.0037066,20,Action period started
108.0037066,30,Release period started
111.0039678,10,Rest period started
114.0039678,20,Action period started
117.0039678,30,Release period started
120.0042712,10,Rest period started
123.0042712,20,Action period started
126.0042712,30,Release period started
129.0045413,10,Rest period started
132.0045413,20,Action period started
135.0045413,30,Release period started
138.0047859,10,Rest period started
141.0047859,20,Action period started
144.0047859,30,Release period started
147.005028,10,Rest period started
150.005028,20,Action period started
153.005028,30,Release period started
156.0052774,10,Rest period started
159.0052774,20,Action period started
162.0052774,30,Release period started
165.0054989,10,Rest period started
168.0054989,20,Action period started
171.0054989,30,Release period started
174.0057546,10,Rest period started
177.0057546,20,Action period started
180.0057546,30,Release period started
183.0059975,10,Rest period started
186.0059975,20,Action period started
189.0059975,30,Release period started
192.0062575,10,Rest period started
195.0062575,20,Action period started
198.0062575,30,Release period started
201.0065329,10,Rest period started
204.0065329,20,Action period started
207.0065329,30,Release period started
210.0067523,10,Rest period started
213.0067523,20,Action period started
216.0067523,30,Release period started
219.0069914,10,Rest period started
222.0069914,20,Action period started
225.0069914,30,Release period started
228.0073848,10,Rest period started
231.0073848,20,Action period started
234.0073848,30,Release period started
237.0076064,10,Rest period started
240.0076064,20,Action period started
243.0076064,30,Release period started
246.0078128,10,Rest period started
249.0078128,20,Action period started
252.0078128,30,Release period started
255.0080682,10,Rest period started
258.0080682,20,Action period started
261.0080682,30,Release period started
264.008336,10,Rest period started
267.008336,20,Action period started
270.008336,30,Release period started
273.0085446,201,Trash data in the TRIM period
276.0085446,202,Trash data in the TRIM period
