time,marker_id,description
0.0002313,101,Trash data in the TRIM period
3.0002313,102,Trash data in the TRIM period
3.0008511,10,Rest period started
6.0008511,20,Action period started
9.0008511,30,Release period started
12.0010726,10,Rest period started
15.0010726,20,Action period started
18.0010726,30,Release period started
21.0013706,10,Rest period started
24.0013706,20,Action period started
27.0013706,30,Release period started
30.0016803,10,Rest period started
33.0016803,20,Action period started
36.0016803,30,Release period started
39.0019086,10,Rest period started
42.0019086,20,Action period started
45.0019086,30,Release period started
48.0021631,10,Rest period started
51.0021631,20,Action period started
54.0021631,30,Release period started
57.0024379,10,Rest period started
60.0024379,20,Action period started
63.0024379,30,Release period started
66.0026663,10,Rest period started
69.0026663,20,Action period started
72.0026663,30,Release period started
75.0029204,10,Rest period started
78.0029204,20,Action period started
81.0029204,30,Release period started
84.0032306,10,Rest period started
87.0032306,20,Action period started
90.0032306,30,Release period started
93.003459,10,Rest period started
96.003459,20,Action period started
99.003459,30,Release period started
102.0037286,10,Rest period started
105.0037286,20,Action period started
108.0037286,30,Release period started
111.0039629,10,Rest period started
114.0039629,20,Action period started
117.0039629,30,Release period started
120.004215,10,Rest period started
123.004215,20,Action period started
126.004215,30,Release period started
129.0044854,10,Rest period started
132.0044854,20,Action period started
135.0044854,30,Release period started
138.0047818,10,Rest period started
141.0047818,20,Action period started
144.0047818,30,Release period started
147.0050194,10,Rest period started
150.0050194,20,Action period started
153.0050194,30,Release period started
156.0052698,10,Rest period started
159.0052698,20,Action period started
162.0052698,30,Release period started
165.0055241,10,Rest period started
168.0055241,20,Action period started
171.0055241,30,Release period started
174.0057727,10,Rest period started
177.0057727,20,Action period started
180.0057727,30,Release period started
183.006031,10,Rest period started
186.006031,20,Action period started
189.006031,30,Release period started
192.0062933,10,Rest period started
195.0062933,20,Action period started
198.0062933,30,Release period started
201.0065748,10,Rest period started
204.0065748,20,Action period started
207.0065748,30,Release period started
210.0068738,10,Rest period started
213.0068738,20,Action period started
216.0068738,30,Release period started
219.0071211,10,Rest period started
222.0071211,20,Action period started
225.0071211,30,Release period started
228.0073729,10,Rest period started
231.0073729,20,Action period started
234.0073729,30,Release period started
237.0076627,10,Rest period started
240.0076627,20,Action period started
243.0076627,30,Release period started
246.0079623,10,Rest period started
249.0079623,20,Action period started
252.0079623,30,Release period started
255.0082517,10,Rest period started
258.0082517,20,Action period started
261.0082517,30,Release period started
264.0085061,10,Rest period started
267.0085061,20,Action period started
270.0085061,30,Release period started
273.0086596,201,Trash data in the TRIM period
276.0086596,202,Trash data in the TRIM period
