time,marker_id,description
9.52e-05,101,Trash data in the TRIM period
3.0000952,102,Trash data in the TRIM period
3.0006487,10,Rest period started
6.0006487,20,Action period started
9.0006487,30,Release period started
12.0009432,10,Rest period started
15.0009432,20,Action period started
18.0009432,30,Release period started
21.0012041,10,Rest period started
24.0012041,20,Action period started
27.0012041,30,Release period started
30.0014805,10,Rest period started
33.0014805,20,Action period started
36.0014805,30,Release period started
39.0016996,10,Rest period started
42.0016996,20,Action period started
45.0016996,30,Release period started
48.0019712,10,Rest period started
51.0019712,20,Action period started
54.0019712,30,Release period started
57.0022235,10,Rest period started
60.0022235,20,Action period started
63.0022235,30,Release period started
66.0024747,10,Rest period started
69.0024747,20,Action period started
72.0024747,30,Release period started
75.0026706,10,Rest period started
78.0026706,20,Action period started
81.0026706,30,Release period started
84.0029113,10,Rest period started
87.0029113,20,Action period started
90.0029113,30,Release period started
93.0032379,10,Rest period started
96.0032379,20,Action period started
99.0032379,30,Release period started
102.0034482,10,Rest period started
105.0034482,20,Action period started
108.0034482,30,Release period started
111.0036933,10,Rest period started
114.0036933,20,Action period started
117.0036933,30,Release period started
120.0039342,10,Rest period started
123.0039342,20,Action period started
126.0039342,30,Release period started
129.0041955,10,Rest period started
132.0041955,20,Action period started
135.0041955,30,Release period started
138.0044688,10,Rest period started
141.0044688,20,Action period started
144.0044688,30,Release period started
147.0048109,10,Rest period started
150.0048109,20,Action period started
153.0048109,30,Release period started
156.0050616,10,Rest period started
159.0050616,20,Action period started
162.0050616,30,Release period started
165.005319,10,Rest period started
168.005319,20,Action period started
171.005319,30,Release period started
174.005556,10,Rest period started
177.005556,20,Action period started
180.005556,30,Release period started
183.0059035,10,Rest period started
186.0059035,20,Action period started
189.0059035,30,Release period started
192.0061295,10,Rest period started
195.0061295,20,Action period started
198.0061295,30,Release period started
201.0063325,10,Rest period started
204.0063325,20,Action period started
207.0063325,30,Release period started
210.0065513,10,Rest period started
213.0065513,20,Action period started
216.0065513,30,Release period started
219.0067992,10,Rest period started
222.0067992,20,Action period started
225.0067992,30,Release period started
228.007089,10,Rest period started
231.007089,20,Action period started
234.007089,30,Release period started
237.0073458,10,Rest period started
240.0073458,20,Action period started
243.0073458,30,Release period started
246.007691,10,Rest period started
249.007691,20,Action period started
252.007691,30,Release period started
255.007925,10,Rest period started
258.007925,20,Action period started
261.007925,30,Release period started
264.0081977,10,Rest period started
267.0081977,20,Action period started
270.0081977,30,Release period started
273.0083787,201,Trash data in the TRIM period
276.0083787,202,Trash data in the TRIM period
