Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,17256.910176,-4353.292805,-1813.665249,-1856.401784,-2561.286397,-14449.821645,-1363.411708,1441.240482,-1534.559016,-11674.293777,-3666.624864,-3576.279113,957.995767,14296.086347,-504.858852,-5017.430188,0.004000,-0.014000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.747971,101.000000
212.000000,17238.402931,-4380.047843,-1840.263824,-1886.621342,-2597.652685,-14480.063555,-1395.486462,1413.412561,-1569.874772,-11695.840859,-3709.182585,-3605.001104,934.548787,14271.767649,-524.886015,-5036.697392,0.004000,-0.014000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748032,0.000000
214.000000,17266.096743,-4355.483276,-1813.128807,-1853.943092,-2563.745089,-14452.794427,-1364.931627,1447.767192,-1563.236304,-11697.718405,-3699.750149,-3597.714436,935.174636,14271.231207,-522.494378,-5035.333936,0.004000,-0.014000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748083,0.000000
216.000000,17244.951993,-4362.077041,-1826.696316,-1871.757432,-2581.492374,-14465.579625,-1384.981142,1428.879968,-1534.581367,-11674.964330,-3663.875599,-3577.463755,956.699366,14294.164097,-505.819977,-5019.821825,0.006000,-0.006000,1.008000,192.000000,0.000000,24.000000,127.500000,104.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770024997.748127,0.000000
218.000000,17265.515598,-4351.839942,-1821.331897,-1867.264732,-2573.892781,-14454.470808,-1380.756662,1434.311442,-1558.788307,-11694.142126,-3713.831748,-3605.291677,934.392325,14266.559692,-528.350535,-5045.481628,0.006000,-0.006000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748171,0.000000
220.000000,17277.138505,-4342.206340,-1810.178376,-1848.601025,-2557.531304,-14438.645773,-1362.696452,1448.057765,-1522.556129,-11664.660175,-3661.908646,-3568.657168,964.187201,14303.015387,-500.500262,-5013.183357,0.006000,-0.006000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748214,0.000000
222.000000,17240.705161,-4367.620274,-1829.020897,-1877.680645,-2589.427243,-14466.898378,-1388.959752,1426.421276,-1548.662966,-11681.669853,-3694.855117,-3587.566744,944.003575,14284.418736,-518.962803,-5033.411686,0.006000,-0.006000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748238,0.000000
224.000000,17280.044231,-4340.529959,-1802.064693,-1851.171476,-2560.347624,-14442.222052,-1356.795592,1456.394965,-1548.193580,-11683.927379,-3683.053396,-3589.712511,948.898607,14284.485791,-516.526463,-5034.641032,0.006000,-0.006000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748254,0.000000
226.000000,17274.724516,-4359.685404,-1823.924699,-1873.322055,-2588.913153,-14467.591282,-1378.275618,1434.847884,-1532.212082,-11665.330728,-3657.326538,-3571.562895,965.863581,14299.506164,-504.165948,-5021.207633,0.006000,-0.008000,1.008000,192.000000,0.000000,24.000000,127.500000,96.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770024997.748271,0.000000
228.000000,17260.419400,-4362.412317,-1827.411571,-1872.182116,-2589.807223,-14470.899340,-1376.219258,1435.429029,-1557.290740,-11699.864173,-3718.167987,-3601.670695,924.803427,14262.581082,-535.257224,-5053.371793,0.006000,-0.008000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748283,0.000000
230.000000,17261.894615,-4348.643643,-1816.056885,-1858.368738,-2572.529325,-14456.348354,-1363.568170,1443.945044,-1535.967175,-11676.484248,-3667.518934,-3578.894267,955.134744,14292.666530,-505.127073,-5019.888880,0.006000,-0.008000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748295,0.000000
232.000000,17239.475815,-4377.231524,-1834.877054,-1884.274409,-2597.317409,-14477.604863,-1390.524374,1421.146264,-1559.280045,-11698.277199,-3702.588821,-3602.140081,936.538093,14270.784172,-522.449675,-5038.127904,0.006000,-0.008000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748307,0.000000
234.000000,17278.501961,-4337.735991,-1806.579746,-1852.177304,-2565.957912,-14444.971316,-1357.510848,1455.590302,-1554.653234,-11691.549324,-3691.100024,-3594.451081,939.220302,14276.685032,-518.448713,-5033.702258,0.006000,-0.008000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748319,0.000000
236.000000,17273.897502,-4348.353070,-1820.996621,-1867.331787,-2579.458365,-14454.694325,-1376.889810,1439.608805,-1528.501693,-11666.962405,-3653.526742,-3571.093508,965.796526,14304.311789,-499.807358,-5014.837386,0.006000,-0.009000,1.009000,192.000000,0.000000,24.000000,127.500000,88.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1770024997.748331,0.000000
238.000000,17297.612703,-4307.359970,-1814.715781,-1856.893522,-2573.535153,-14445.530110,-1372.575924,1453.802163,-1544.684356,-11671.790382,-3698.230231,-3586.851488,937.163942,14283.010576,-525.824788,-5042.508846,0.006000,-0.009000,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748343,0.000000
240.000000,17288.493191,-4352.979881,-1803.472853,-1845.024746,-2553.619749,-14434.018962,-1355.454487,1460.552390,-1509.547414,-11647.426980,-3644.139009,-3554.463810,973.306712,14317.745187,-494.845270,-5010.747017,0.006000,-0.009000,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748356,0.000000
242.000000,17237.665324,-4387.245105,-1824.550548,-1876.317188,-2583.638142,-14460.438724,-1386.858688,1425.683668,-1534.827237,-11690.901123,-3690.295361,-3591.433596,953.458363,14287.011538,-511.765541,-5033.411686,0.006000,-0.009000,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770024997.748368,0.000000
