time,marker_id,description
0.0002009,101,Trash data in the TRIM period
3.0002009,102,Trash data in the TRIM period
3.0008076,10,Rest period started
6.0008076,20,Action period started
9.0008076,30,Release period started
12.0010901,10,Rest period started
15.0010901,20,Action period started
18.0010901,30,Release period started
21.0013265,10,Rest period started
24.0013265,20,Action period started
27.0013265,30,Release period started
30.0016398,10,Rest period started
33.0016398,20,Action period started
36.0016398,30,Release period started
39.0019169,10,Rest period started
42.0019169,20,Action period started
45.0019169,30,Release period started
48.0022349,10,Rest period started
51.0022349,20,Action period started
54.0022349,30,Release period started
57.0026321,10,Rest period started
60.0026321,20,Action period started
63.0026321,30,Release period started
66.0029289,10,Rest period started
69.0029289,20,Action period started
72.0029289,30,Release period started
75.0032159,10,Rest period started
78.0032159,20,Action period started
81.0032159,30,Release period started
84.0035132,10,Rest period started
87.0035132,20,Action period started
90.0035132,30,Release period started
93.0038353,10,Rest period started
96.0038353,20,Action period started
99.0038353,30,Release period started
102.0041776,10,Rest period started
105.0041776,20,Action period started
108.0041776,30,Release period started
111.0044434,10,Rest period started
114.0044434,20,Action period started
117.0044434,30,Release period started
120.0046831,10,Rest period started
123.0046831,20,Action period started
126.0046831,30,Release period started
129.0049321,10,Rest period started
132.0049321,20,Action period started
135.0049321,30,Release period started
138.0051767,10,Rest period started
141.0051767,20,Action period started
144.0051767,30,Release period started
147.0054412,10,Rest period started
150.0054412,20,Action period started
153.0054412,30,Release period started
156.0057054,10,Rest period started
159.0057054,20,Action period started
162.0057054,30,Release period started
165.0059586,10,Rest period started
168.0059586,20,Action period started
171.0059586,30,Release period started
174.0062149,10,Rest period started
177.0062149,20,Action period started
180.0062149,30,Release period started
183.0065074,10,Rest period started
186.0065074,20,Action period started
189.0065074,30,Release period started
192.0068117,10,Rest period started
195.0068117,20,Action period started
198.0068117,30,Release period started
201.0072137,10,Rest period started
204.0072137,20,Action period started
207.0072137,30,Release period started
210.0074816,10,Rest period started
213.0074816,20,Action period started
216.0074816,30,Release period started
219.0077277,10,Rest period started
222.0077277,20,Action period started
225.0077277,30,Release period started
228.0079629,10,Rest period started
231.0079629,20,Action period started
234.0079629,30,Release period started
237.0082631,10,Rest period started
240.0082631,20,Action period started
243.0082631,30,Release period started
246.0085167,10,Rest period started
249.0085167,20,Action period started
252.0085167,30,Release period started
255.0088038,10,Rest period started
258.0088038,20,Action period started
261.0088038,30,Release period started
264.0090642,10,Rest period started
267.0090642,20,Action period started
270.0090642,30,Release period started
273.0092478,201,Trash data in the TRIM period
276.0092478,202,Trash data in the TRIM period
