time,marker_id,description
0.0001914,101,Trash data in the TRIM period
3.0001914,102,Trash data in the TRIM period
3.0010247,10,Rest period started
6.0010247,20,Action period started
9.0010247,30,Release period started
12.0012852,10,Rest period started
15.0012852,20,Action period started
18.0012852,30,Release period started
21.0015146,10,Rest period started
24.0015146,20,Action period started
27.0015146,30,Release period started
30.0017484,10,Rest period started
33.0017484,20,Action period started
36.0017484,30,Release period started
39.0020114,10,Rest period started
42.0020114,20,Action period started
45.0020114,30,Release period started
48.0023148,10,Rest period started
51.0023148,20,Action period started
54.0023148,30,Release period started
57.0025785,10,Rest period started
60.0025785,20,Action period started
63.0025785,30,Release period started
66.0028034,10,Rest period started
69.0028034,20,Action period started
72.0028034,30,Release period started
75.0030657,10,Rest period started
78.0030657,20,Action period started
81.0030657,30,Release period started
84.003266,10,Rest period started
87.003266,20,Action period started
90.003266,30,Release period started
93.003464,10,Rest period started
96.003464,20,Action period started
99.003464,30,Release period started
102.0036734,10,Rest period started
105.0036734,20,Action period started
108.0036734,30,Release period started
111.0039452,10,Rest period started
114.0039452,20,Action period started
117.0039452,30,Release period started
120.0042037,10,Rest period started
123.0042037,20,Action period started
126.0042037,30,Release period started
129.0044943,10,Rest period started
132.0044943,20,Action period started
135.0044943,30,Release period started
138.0047771,10,Rest period started
141.0047771,20,Action period started
144.0047771,30,Release period started
147.0050416,10,Rest period started
150.0050416,20,Action period started
153.0050416,30,Release period started
156.0052798,10,Rest period started
159.0052798,20,Action period started
162.0052798,30,Release period started
165.0055776,10,Rest period started
168.0055776,20,Action period started
171.0055776,30,Release period started
174.0057878,10,Rest period started
177.0057878,20,Action period started
180.0057878,30,Release period started
183.0060185,10,Rest period started
186.0060185,20,Action period started
189.0060185,30,Release period started
192.0062664,10,Rest period started
195.0062664,20,Action period started
198.0062664,30,Release period started
201.0065524,10,Rest period started
204.0065524,20,Action period started
207.0065524,30,Release period started
210.0068274,10,Rest period started
213.0068274,20,Action period started
216.0068274,30,Release period started
219.0071624,10,Rest period started
222.0071624,20,Action period started
225.0071624,30,Release period started
228.0073935,10,Rest period started
231.0073935,20,Action period started
234.0073935,30,Release period started
237.0076634,10,Rest period started
240.0076634,20,Action period started
243.0076634,30,Release period started
246.007904,10,Rest period started
249.007904,20,Action period started
252.007904,30,Release period started
255.0082122,10,Rest period started
258.0082122,20,Action period started
261.0082122,30,Release period started
264.0084356,10,Rest period started
267.0084356,20,Action period started
270.0084356,30,Release period started
273.0085932,201,Trash data in the TRIM period
276.0085932,202,Trash data in the TRIM period
