Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
46.000000,20166.950842,18441.574984,6065.078803,15128.510014,10525.525871,-18272.685203,627.547577,-20602.631045,21749.029666,25812.353291,-17130.935744,-11808.448947,1583.889316,-485.099910,7607.639743,4731.149045,0.003500,-0.003500,1.012750,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845359,101.000000
48.000000,20216.951694,18493.542790,6107.792986,15132.153348,10556.974775,-18224.025455,673.100433,-20549.858576,21791.006242,25862.108274,-17070.966014,-11751.027316,1636.192398,-434.003822,7595.435690,4736.289947,0.003500,-0.003500,1.012750,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845421,0.000000
50.000000,20143.079179,18415.177574,6039.150779,15127.303019,10501.922429,-18305.631674,602.938307,-20631.598906,21764.809998,25831.687550,-17106.773508,-11785.091375,1606.375171,-464.849229,7592.105280,4728.064505,0.003500,-0.003500,1.012750,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845467,0.000000
52.000000,20195.896351,18468.240615,6088.637541,15130.588726,10541.306203,-18240.789263,656.135458,-20570.645698,21749.454349,25812.241532,-17122.710302,-11800.447023,1593.567621,-477.701482,7594.698083,4726.633993,0.005750,-0.004750,1.012375,192.000000,0.000000,32.000000,127.500000,104.000000,15.500000,80.000000,0.000000,0.000000,0.000000,1771493547.845542,0.000000
54.000000,20165.654441,18435.271792,6063.760050,15131.415740,10525.503519,-18270.852360,630.006269,-20600.977016,21791.676794,25857.414407,-17067.725011,-11747.272223,1644.976633,-430.226377,7587.590228,4744.895368,0.005750,-0.004750,1.012375,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845584,0.000000
56.000000,20146.633106,18420.854917,6049.834913,15125.403121,10516.361656,-18282.475267,619.165673,-20617.137327,21731.707064,25779.607985,-17146.179634,-11824.564555,1564.890333,-504.702390,7592.731129,4732.825426,0.005750,-0.004750,1.012375,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845608,0.000000
58.000000,20196.946883,18471.571025,6097.980571,15133.337990,10560.483999,-18223.801938,668.227752,-20563.023754,21772.700163,25841.097634,-17085.427592,-11763.052554,1616.299345,-440.642290,7589.534830,4748.002261,0.005750,-0.004750,1.012375,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845619,0.000000
60.000000,20121.710911,18394.479858,6036.848549,15126.878336,10506.660999,-18302.323616,604.502929,-20639.623182,21753.879995,25816.287198,-17117.725863,-11795.999026,1598.552060,-471.510049,7590.183030,4743.084877,0.005750,-0.004750,1.012375,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845631,0.000000
62.000000,20190.040194,18460.059876,6090.962123,15128.442958,10553.733772,-18240.141063,656.649549,-20574.378440,21741.407721,25807.748831,-17128.700570,-11808.717168,1582.369397,-485.234020,7595.547449,4736.312298,0.004875,-0.005375,1.012188,192.000000,0.000000,16.000000,127.500000,104.000000,15.500000,80.000000,0.000000,0.000000,0.000000,1771493547.845644,0.000000
64.000000,20161.228795,18428.789786,6070.845553,15132.801549,10541.350906,-18265.286775,631.392077,-20603.726280,21795.521295,25870.557233,-17066.316851,-11747.495740,1643.814342,-425.554863,7591.658246,4750.080973,0.004875,-0.005375,1.012188,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845656,0.000000
66.000000,20144.576746,18414.395263,6054.975814,15122.810319,10529.750351,-18281.335328,620.842054,-20619.439557,21730.343608,25794.628357,-17146.581965,-11827.693799,1572.624036,-495.493471,7595.390987,4727.662173,0.004875,-0.005375,1.012188,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493547.845668,0.000000
