Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,17485.948501,17024.586144,-20599.032414,-21384.740935,-17811.971046,-24195.785725,-4221.864548,-25233.979551,20644.920545,25956.186766,-22803.406156,-15658.112247,-319.138207,17519.297304,-23278.224263,-14708.431328,0.006000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.205922,101.000000
212.000000,17546.365267,17083.214770,-20545.164710,-21330.605010,-17754.035324,-24137.827651,-4164.889951,-25177.519045,20695.077860,26002.611339,-22751.058370,-15606.926752,-264.331730,17570.594558,-23230.257419,-14666.007717,0.006000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.205973,0.000000
214.000000,17498.353720,17037.907784,-20599.233580,-21382.461057,-17810.965217,-24193.975233,-4223.429170,-25225.172964,20686.405383,25995.838761,-22759.932013,-15612.760557,-276.982817,17565.207787,-23244.048446,-14678.859970,0.006000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206015,0.000000
216.000000,17549.114531,17091.462563,-20548.964506,-21334.158937,-17759.779723,-24146.097797,-4172.467193,-25176.848492,20671.988508,25983.366487,-22774.460646,-15627.490357,-296.518242,17550.768560,-23264.366181,-14702.396357,0.002000,-0.010000,1.002000,192.000000,0.000000,8.000000,127.500000,88.000000,15.500000,40.000000,0.000000,0.000000,0.000000,1771494517.206056,0.000000
218.000000,17528.238002,17072.016546,-20567.047068,-21351.638001,-17775.269482,-24177.256128,-4189.633332,-25196.160399,20712.869848,26031.333331,-22729.511288,-15581.088135,-250.317186,17594.510924,-23216.891076,-14666.007717,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206092,0.000000
220.000000,17509.574295,17048.658973,-20587.610672,-21372.112199,-17797.420060,-24202.737117,-4212.409760,-25216.254618,20663.964231,25970.693048,-22785.055373,-15638.956802,-307.068265,17535.658781,-23271.496388,-14719.182517,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206130,0.000000
222.000000,17557.362325,17098.525715,-20539.286201,-21323.318341,-17750.235528,-24150.657553,-4160.151382,-25168.041905,20707.326616,26014.189543,-22738.854318,-15593.336891,-257.022709,17583.469162,-23225.764719,-14681.296311,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206150,0.000000
224.000000,17497.817278,17037.393694,-20595.053803,-21377.186045,-17808.819450,-24199.741983,-4218.265917,-25224.122432,20689.579331,25998.632729,-22756.959231,-15609.653665,-272.199544,17567.577072,-23243.266135,-14690.415822,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206161,0.000000
226.000000,17536.508147,17078.073869,-20552.250213,-21335.097711,-17768.496903,-24155.150253,-4174.680015,-25187.823199,20666.333516,25970.737752,-22782.551978,-15634.486453,-299.491024,17543.191319,-23265.260251,-14707.894886,0.002000,-0.006000,1.002000,192.000000,0.000000,8.000000,127.500000,104.000000,15.500000,40.000000,0.000000,0.000000,0.000000,1771494517.206173,0.000000
228.000000,17515.519859,17055.543310,-20572.746762,-21356.533033,-17790.915703,-24173.925719,-4193.388426,-25210.621978,20710.791136,26016.514124,-22740.374236,-15592.599284,-252.954692,17585.994910,-23219.573286,-14661.760886,0.002000,-0.006000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771494517.206184,0.000000
